name,link,province
دانشگاه محقق اردبيلي,https://golestan.uma.ac.ir/forms/authenticateuser/main.htm,اردبيل
دانشگاه اصفهان,https://golestan.ui.ac.ir/forms/authenticateuser/main.htm,اصفهان
دانشگاه صنعتي اصفهان,https://golestan.iut.ac.ir/forms/authenticateuser/main.htm,اصفهان
دانشگاه هنر اصفهان,https://edu.aui.ac.ir/forms/authenticateuser/main.htm,اصفهان
موسسه آموزش عالي راغب اصفهاني,https://golestan.raghebisf.ac.ir/forms/authenticateuser/main.htm,اصفهان
دانشگاه فني و مهندسي گلپايگان,https://golestan.gut.ac.ir/forms/authenticateuser/main.htm,اصفهان
مركز آموزش عالي شهرضا,https://golestan.shahreza.ac.ir/forms/authenticateuser/main.htm,اصفهان
موسسه آموزش عالي غير انتفاعي صنعتي فولاد,https://golestan.fit.ac.ir:4433/forms/authenticateuser/main.htm,اصفهان
موسسه آموزش عالي فرزانگان,https://golestan.farzanegan.ac.ir/forms/authenticateuser/main.htm,اصفهان
دانشگاه خوارزمي,https://golestan.khu.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه شهيد بهشتي,https://golestan.sbu.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه علامه طباطبايي,https://ems.atu.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه تربيت مدرس,https://golestan.modares.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه تربيت دبيرشهيدرجايي,https://portal.sru.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه صنعتي خواجه نصيرالدين طوسي,https://golestan.kntu.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه علم و صنعت ايران,https://golestan.iust.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه سوره,https://golestan.soore.ac.ir/forms/authenticateuser/main.htm,تهران
دانشگاه تهران,https://ems1.ut.ac.ir/Forms/AuthenticateUser/main.htm,تهران
دانشگاه الزهرا,https://edu1.alzahra.ac.ir/Forms/AuthenticateUser/main.htm,تهران
